Question,Option1,Option2,Option3,Option4,CorrectAnswer
What is the capital of India?,Mumbai,Delhi,Kolkata,Chennai,2
What is 5 + 3?,6,7,8,9,3
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,2
What is the largest ocean on Earth?,Atlantic,Indian,Arctic,Pacific,4
Who wrote Romeo and Juliet?,Charles Dickens,William Shakespeare,Mark Twain,Jane Austen,2
What is the chemical symbol for water?,H2O,CO2,O2,NaCl,1
How many continents are there?,5,6,7,8,3
What is the square root of 64?,6,7,8,9,3
Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,3
is the capital of France?,London,Berlin,Paris,Rome,3
